VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT
OBS:      58939.338  g-ZTF  2457.650  310.731  19.024  0.137  None  P48  ZTF-Cam
OBS:      58939.373  r-ZTF  5479.236  497.690  18.153  0.099  None  P48  ZTF-Cam
OBS:      58939.338  g-ZTF  2457.583  310.722  19.024  0.137  None  P48  ZTF-Cam
OBS:      58939.373  r-ZTF  5478.995  497.668  18.153  0.099  None  P48  ZTF-Cam
OBS:      58940.359  g-ZTF  22418.499  1783.391  16.623  0.086  None  P48  ZTF-Cam
OBS:      58941.267  g-ZTF  21543.830  835.782  16.667  0.042  None  P48  ZTF-Cam
OBS:      58954.255  r-ZTF  61310.534  2579.954  15.531  0.046  None  P48  ZTF-Cam
OBS:      58955.268  r-ZTF  61026.311  1936.750  15.536  0.034  None  P48  ZTF-Cam
OBS:      58955.301  g-ZTF  24363.310  1114.132  16.533  0.050  None  P48  ZTF-Cam
OBS:      58956.265  r-ZTF  60816.066  1433.451  15.540  0.026  None  P48  ZTF-Cam
OBS:      58962.232  g-ZTF  20850.011  814.398  16.702  0.042  None  P48  ZTF-Cam
OBS:      58962.268  r-ZTF  62013.166  2354.805  15.519  0.041  None  P48  ZTF-Cam
OBS:      58965.232  g-ZTF  19339.211  711.309  16.784  0.040  None  P48  ZTF-Cam
OBS:      58965.287  r-ZTF  59837.171  2337.381  15.558  0.042  None  P48  ZTF-Cam
OBS:      58967.228  g-ZTF  17500.559  659.860  16.892  0.041  None  P48  ZTF-Cam
OBS:      58968.202  r-ZTF  59046.852  2274.348  15.572  0.042  None  P48  ZTF-Cam
OBS:      58968.273  g-ZTF  17422.154  714.859  16.897  0.045  None  P48  ZTF-Cam
OBS:      58971.213  r-ZTF  59018.851  2081.205  15.573  0.038  None  P48  ZTF-Cam
OBS:      58971.276  g-ZTF  15835.657  612.507  17.001  0.042  None  P48  ZTF-Cam
OBS:      58975.203  r-ZTF  56187.129  1582.453  15.626  0.031  None  P48  ZTF-Cam
OBS:      58975.250  g-ZTF  14513.780  621.182  17.096  0.046  None  P48  ZTF-Cam
OBS:      58978.170  g-ZTF  13594.694  616.603  17.167  0.049  None  P48  ZTF-Cam
OBS:      58978.248  r-ZTF  56172.424  1965.232  15.626  0.038  None  P48  ZTF-Cam
OBS:      58981.201  g-ZTF  12528.076  612.219  17.255  0.053  None  P48  ZTF-Cam
OBS:      58981.250  r-ZTF  53758.011  1024.049  15.674  0.021  None  P48  ZTF-Cam
OBS:      58985.168  g-ZTF  11219.889  515.569  17.375  0.050  None  P48  ZTF-Cam
OBS:      58991.171  g-ZTF  10368.059  631.292  17.461  0.066  None  P48  ZTF-Cam
OBS:      58991.228  r-ZTF  51205.053  1981.718  15.727  0.042  None  P48  ZTF-Cam
OBS:      58997.204  g-ZTF  9042.111  476.302  17.609  0.057  None  P48  ZTF-Cam
OBS:      59005.186  g-ZTF  7767.466  451.331  17.774  0.063  None  P48  ZTF-Cam
OBS:      59009.232  g-ZTF  7585.701  483.523  17.800  0.069  None  P48  ZTF-Cam
OBS:      59014.200  g-ZTF  7112.255  398.358  17.870  0.061  None  P48  ZTF-Cam
OBS:      59014.230  r-ZTF  45553.130  1495.709  15.854  0.036  None  P48  ZTF-Cam
OBS:      59017.236  r-ZTF  44130.802  1558.485  15.888  0.038  None  P48  ZTF-Cam
OBS:      59020.198  g-ZTF  6315.773  415.774  17.999  0.071  None  P48  ZTF-Cam
OBS:      59020.237  r-ZTF  45672.402  1464.651  15.851  0.035  None  P48  ZTF-Cam
OBS:      59023.215  g-ZTF  6308.565  507.444  18.000  0.087  None  P48  ZTF-Cam
OBS:      59026.217  g-ZTF  6121.550  305.929  18.033  0.054  None  P48  ZTF-Cam
OBS:      59032.197  g-ZTF  5157.696  401.943  18.219  0.085  None  P48  ZTF-Cam
OBS:      59032.215  r-ZTF  39471.578  1256.513  16.009  0.035  None  P48  ZTF-Cam
OBS:      59037.236  g-ZTF  4603.598  617.263  18.342  0.146  None  P48  ZTF-Cam
OBS:      58911.411  orange-ATLAS  288.138  514.326  21.351  1.785  None  ATLAS  HKO
OBS:      58911.434  orange-ATLAS  -1408.640  484.572  nan  -0.373  None  ATLAS  HKO
OBS:      58911.442  orange-ATLAS  1263.572  531.964  19.746  0.421  None  ATLAS  HKO
OBS:      58911.451  orange-ATLAS  -325.687  456.613  nan  -1.522  None  ATLAS  HKO
OBS:      58912.525  orange-ATLAS  314.775  357.899  21.255  1.137  None  ATLAS  HKO
OBS:      58912.528  orange-ATLAS  1366.470  460.500  19.661  0.337  None  ATLAS  HKO
OBS:      58912.534  orange-ATLAS  61.944  329.543  23.020  5.320  None  ATLAS  HKO
OBS:      58912.547  orange-ATLAS  -845.668  408.458  nan  -0.524  None  ATLAS  HKO
OBS:      58913.433  orange-ATLAS  -48.663  428.965  nan  -9.571  None  ATLAS  HKO
OBS:      58913.437  orange-ATLAS  -83.792  420.717  nan  -5.451  None  ATLAS  HKO
OBS:      58913.459  orange-ATLAS  371.535  496.000  21.075  1.335  None  ATLAS  HKO
OBS:      58920.557  orange-ATLAS  105.390  2689.556  22.443  25.520  None  ATLAS  HKO
OBS:      58920.560  orange-ATLAS  -739.946  3496.245  nan  -5.130  None  ATLAS  HKO
OBS:      58920.572  orange-ATLAS  4168.694  3860.210  18.450  0.926  None  ATLAS  HKO
OBS:      58921.545  orange-ATLAS  1171.656  14883.542  19.828  12.703  None  ATLAS  HKO
OBS:      58921.549  orange-ATLAS  6729.767  18008.855  17.930  2.676  None  ATLAS  HKO
OBS:      58921.554  orange-ATLAS  -5190.390  5979.329  nan  -1.251  None  ATLAS  HKO
OBS:      58921.565  orange-ATLAS  4848.417  12048.317  18.286  2.485  None  ATLAS  HKO
OBS:      58925.477  orange-ATLAS  2085.451  1261.698  19.202  0.605  None  ATLAS  HKO
OBS:      58925.489  orange-ATLAS  308.177  502.328  21.278  1.630  None  ATLAS  HKO
OBS:      58925.500  orange-ATLAS  211.446  634.339  21.687  3.000  None  ATLAS  HKO
OBS:      58925.504  orange-ATLAS  -1062.674  582.345  nan  -0.595  None  ATLAS  HKO
OBS:      58931.546  cyan-ATLAS  -165.196  364.258  nan  -2.394  None  ATLAS  HKO
OBS:      58931.550  cyan-ATLAS  -30.255  380.338  nan  -13.649  None  ATLAS  HKO
OBS:      58931.560  cyan-ATLAS  -233.991  415.101  nan  -1.926  None  ATLAS  HKO
OBS:      58931.572  cyan-ATLAS  -1221.237  459.185  nan  -0.408  None  ATLAS  HKO
OBS:      58933.538  orange-ATLAS  1428.236  461.320  19.613  0.323  None  ATLAS  HKO
OBS:      58933.545  orange-ATLAS  -897.016  508.608  nan  -0.616  None  ATLAS  HKO
OBS:      58933.549  orange-ATLAS  53.852  439.807  23.172  8.167  None  ATLAS  HKO
OBS:      58933.561  orange-ATLAS  850.354  392.864  20.176  0.462  None  ATLAS  HKO
OBS:      58937.515  orange-ATLAS  506.291  890.059  20.739  1.758  None  ATLAS  HKO
OBS:      58937.518  orange-ATLAS  2290.868  666.642  19.100  0.291  None  ATLAS  HKO
OBS:      58937.528  orange-ATLAS  397.375  389.824  21.002  0.981  None  ATLAS  HKO
OBS:      58937.536  orange-ATLAS  -50.769  339.950  nan  -7.270  None  ATLAS  HKO
OBS:      58941.391  orange-ATLAS  44998.703  719.979  15.867  0.016  None  ATLAS  HKO
OBS:      58941.402  orange-ATLAS  43772.364  744.130  15.897  0.017  None  ATLAS  HKO
OBS:      58941.405  orange-ATLAS  44055.486  792.999  15.890  0.018  None  ATLAS  HKO
OBS:      58941.410  orange-ATLAS  43052.661  861.053  15.915  0.020  None  ATLAS  HKO
OBS:      58943.441  orange-ATLAS  54050.535  918.859  15.668  0.017  None  ATLAS  HKO
OBS:      58943.455  orange-ATLAS  54852.951  932.500  15.652  0.017  None  ATLAS  HKO
OBS:      58943.459  orange-ATLAS  54752.002  711.776  15.654  0.013  None  ATLAS  HKO
OBS:      58943.464  orange-ATLAS  54000.776  810.012  15.669  0.015  None  ATLAS  HKO
OBS:      58941.391  orange  45164.790  1081.556  15.863  0.026  None  ATLAS  HKO
OBS:      58949.509  Unknown  75857.758  0.000  15.300  0.000  None  Unknown  Unknown
OBS:      58955.305  w  55462.571  510.829  15.640  0.010  None  Pan-STARRS1  GPC1
OBS:      58956.435  g  24660.393  454.261  16.520  0.020  None  Pan-STARRS1  GPC1
OBS:      58875.582  g  24.562  142.824  24.024  5.815  None  Pan-STARRS1  GPC1
OBS:      58875.584  i  363.494  138.150  21.099  0.380  None  Pan-STARRS1  GPC1
OBS:      58878.501  r  85.475  316.810  22.670  3.706  None  Pan-STARRS1  GPC1
OBS:      58878.503  g  143.445  237.453  22.108  1.655  None  Pan-STARRS1  GPC1
OBS:      58956.435  g  24703.586  384.812  16.518  0.017  None  Pan-STARRS1  GPC1
OBS:      58956.437  r  59577.188  486.479  15.562  0.009  None  Pan-STARRS1  GPC1
OBS:      58958.409  g  22944.574  219.873  16.598  0.010  None  Pan-STARRS1  GPC1
OBS:      58958.411  i  74500.639  292.952  15.320  0.004  None  Pan-STARRS1  GPC1
OBS:      58960.294  g  22492.618  167.162  16.620  0.008  None  Pan-STARRS1  GPC1
OBS:      58960.296  r  58673.230  229.689  15.579  0.004  None  Pan-STARRS1  GPC1
OBS:      58967.248  g  19287.680  254.174  16.787  0.014  None  Pan-STARRS1  GPC1
OBS:      58967.250  i  77710.553  463.403  15.274  0.006  None  Pan-STARRS1  GPC1
OBS:      58970.304  g  18018.557  330.686  16.861  0.020  None  Pan-STARRS1  GPC1
OBS:      58970.306  i  79031.459  385.596  15.255  0.005  None  Pan-STARRS1  GPC1
OBS:      58980.367  i  77047.757  279.265  15.283  0.004  None  Pan-STARRS1  GPC1
OBS:      58980.369  r  49636.368  187.553  15.761  0.004  None  Pan-STARRS1  GPC1
OBS:      58985.374  g  13548.150  168.259  17.170  0.013  None  Pan-STARRS1  GPC1
OBS:      58985.376  i  78069.249  304.460  15.269  0.004  None  Pan-STARRS1  GPC1
OBS:      58989.259  r  45102.436  201.017  15.864  0.005  None  Pan-STARRS1  GPC1
OBS:      58989.261  g  11897.070  108.982  17.311  0.010  None  Pan-STARRS1  GPC1
OBS:      58995.359  r  45419.254  358.520  15.857  0.009  None  Pan-STARRS1  GPC1
OBS:      58995.361  g  10622.824  134.009  17.434  0.014  None  Pan-STARRS1  GPC1
OBS:      59005.336  r  46297.762  407.498  15.836  0.010  None  Pan-STARRS1  GPC1
OBS:      59008.286  r  42379.907  253.584  15.932  0.006  None  Pan-STARRS1  GPC1
OBS:      59008.288  i  71835.227  339.431  15.359  0.005  None  Pan-STARRS1  GPC1
OBS:      59013.278  i  70255.447  608.956  15.383  0.009  None  Pan-STARRS1  GPC1
OBS:      59013.280  g  8631.375  368.219  17.660  0.046  None  Pan-STARRS1  GPC1
OBS:      59016.266  i  70055.139  366.601  15.386  0.006  None  Pan-STARRS1  GPC1
OBS:      59016.268  g  8205.782  146.140  17.715  0.019  None  Pan-STARRS1  GPC1
OBS:      59020.284  i  69733.265  627.914  15.391  0.010  None  Pan-STARRS1  GPC1
OBS:      59020.286  g  7063.826  227.224  17.877  0.035  None  Pan-STARRS1  GPC1
OBS:      59032.285  r  36327.875  354.082  16.099  0.011  None  Pan-STARRS1  GPC1
OBS:      59032.286  z  82679.911  591.860  15.207  0.008  None  Pan-STARRS1  GPC1
OBS:      59019.663  G  38370.725  7068.149  16.040  0.200  None  Gaia  Gaia-Photometric
# END: 
