# mjd counts counts_error
5.892762054443359375e+04 nan nan
5.892764135742187500e+04 nan nan
5.892766217041015625e+04 nan nan
5.892768304443359375e+04 nan nan
5.892770385742187500e+04 nan nan
5.892772467041015625e+04 nan nan
5.892774554443359375e+04 nan nan
5.892776635742187500e+04 nan nan
5.892778717041015625e+04 nan nan
5.892780804443359375e+04 nan nan
5.892782885742187500e+04 nan nan
5.892784967041015625e+04 nan nan
5.892787054443359375e+04 nan nan
5.892789135742187500e+04 nan nan
5.892791217041015625e+04 nan nan
5.892793304443359375e+04 nan nan
5.892795385742187500e+04 nan nan
5.892797467041015625e+04 nan nan
5.892799554443359375e+04 nan nan
5.892801635742187500e+04 nan nan
5.892803717041015625e+04 nan nan
5.892805804443359375e+04 nan nan
5.892807885742187500e+04 nan nan
5.892809967041015625e+04 nan nan
5.892812054443359375e+04 nan nan
5.892814135742187500e+04 nan nan
5.892816217041015625e+04 nan nan
5.892818304443359375e+04 nan nan
5.892820385742187500e+04 nan nan
5.892822467041015625e+04 nan nan
5.892824554443359375e+04 nan nan
5.892826635742187500e+04 nan nan
5.892828717041015625e+04 nan nan
5.892830804443359375e+04 nan nan
5.892832885742187500e+04 nan nan
5.892834967041015625e+04 nan nan
5.892837054443359375e+04 nan nan
5.892839135742187500e+04 nan nan
5.892841217041015625e+04 nan nan
5.892843304443359375e+04 nan nan
5.892845385742187500e+04 1.224695281900540778e+01 4.708324942182320427e+01
5.892847467041015625e+04 3.380278764144588877e+01 4.001297301164542120e+01
5.892849554443359375e+04 2.825914341729527379e+01 3.902407557902770208e+01
5.892851635742187500e+04 2.673262988926886408e+01 3.818373700241114221e+01
5.892853717041015625e+04 1.148338063890377114e+01 3.408632019501222032e+01
5.892855804443359375e+04 2.116800635219593474e+01 3.693525165083757855e+01
5.892857885742187500e+04 2.472896794933387454e+01 3.519581665995275443e+01
5.892859967041015625e+04 3.616753497328144817e+01 3.360968081280059749e+01
5.892862054443359375e+04 2.658112012599349683e+01 3.206411723485192056e+01
5.892864135742187500e+04 2.650341452161194766e+01 3.114489496631733800e+01
5.892866217041015625e+04 1.864023035779099402e+01 2.395640532492701880e+01
5.892868304443359375e+04 1.039693362339354010e+01 2.901705464184367145e+01
5.892870385742187500e+04 2.584890230181232695e+01 2.611041428829220479e+01
5.892872467041015625e+04 1.330034412852984005e+01 2.697017848593799627e+01
5.892874554443359375e+04 1.654376602797826123e+01 2.580387074846070661e+01
5.892876635742187500e+04 9.680558041570062500e+00 2.420932873932551033e+01
5.892878717041015625e+04 1.834902492630368798e+01 2.494729904102831242e+01
5.892880804443359375e+04 1.131146623170162613e+01 2.267406910584303859e+01
5.892882885742187500e+04 1.188691645115756401e+01 2.019406330636438085e+01
5.892884967041015625e+04 2.005329898901537078e+01 2.163688602368118552e+01
5.892887054443359375e+04 1.647076390418118308e+01 1.987749875942698807e+01
5.892889135742187500e+04 5.168965661473560402e+00 1.762799829056906020e+01
5.892891217041015625e+04 8.769862017603440307e+00 1.561595120904849843e+01
5.892893304443359375e+04 3.492240953687616667e+00 1.725297348573732847e+01
5.892895385742187500e+04 3.943341617920754771e+00 1.580582607706962506e+01
5.892897467041015625e+04 1.384239580743506437e+01 1.485925560241556553e+01
5.892899554443359375e+04 6.433988288152470147e+00 1.556053812842201545e+01
5.892901635742187500e+04 1.638912030406818232e+01 1.359850729741758535e+01
5.892903717041015625e+04 1.330381118834605658e+01 1.671837375383775992e+01
5.892905804443359375e+04 1.190454240920990259e+01 1.566892896122966761e+01
5.892907885742187500e+04 1.629059931050860754e+01 1.351302326630419159e+01
5.892909967041015625e+04 1.166217297004771680e+01 1.418685114086899191e+01
5.892912054443359375e+04 8.623119530647182174e+00 1.763636162654980666e+01
5.892914135742187500e+04 1.368288975033286192e+01 1.483950325880805465e+01
5.892916217041015625e+04 1.457551540989713956e+01 1.841126680483843003e+01
5.892918304443359375e+04 9.761595026232402716e+00 1.939619288094121430e+01
5.892920385742187500e+04 7.764470364443166517e+00 1.805327247296636273e+01
5.892922467041015625e+04 6.363523785106654174e+00 1.931481860821318364e+01
5.892924554443359375e+04 3.467021881430305541e+00 1.755211077740743519e+01
5.892926635742187500e+04 1.064456061039797063e+01 1.364226635987242275e+01
5.892928717041015625e+04 1.046470066671859556e+01 1.773388768229945711e+01
5.892930804443359375e+04 1.422688344393386117e+01 1.642521769021144351e+01
5.892932885742187500e+04 -4.964065221365299152e-01 1.735058146834440862e+01
5.892934967041015625e+04 1.481659124851305265e+01 1.368659104908473090e+01
5.892937054443359375e+04 1.639543111462537794e+01 1.637836616536056766e+01
5.892939135742187500e+04 9.367510260384793952e+00 1.540771499269863476e+01
5.892941217041015625e+04 1.629658213344133699e+01 1.630888890540160929e+01
5.892943304443359375e+04 4.300020779153790329e+00 1.614224899146303116e+01
5.892945385742187500e+04 3.681134294644724747e+00 1.437507385626539147e+01
5.892947467041015625e+04 2.533698422110006732e+00 1.365711717477018539e+01
5.892949554443359375e+04 1.551054397515289551e+01 1.500264602071523257e+01
5.892951635742187500e+04 1.613982652226559722e+01 1.296447206152528864e+01
5.892953717041015625e+04 1.253776206359481549e+01 1.370654461474421915e+01
5.892955804443359375e+04 5.874991285511184103e+00 1.662226200663193509e+01
5.892957885742187500e+04 9.553608716779525167e+00 1.354527258470071160e+01
5.892959967041015625e+04 4.638712064700538207e+00 1.650081661434705893e+01
5.892962054443359375e+04 1.576901463898977340e+00 1.436541882031688644e+01
5.892964135742187500e+04 5.853998815781420006e+00 1.122181846452976828e+01
5.892966217041015625e+04 5.484492485360842551e+00 1.288922975798302950e+01
5.892968304443359375e+04 -1.184660052257687113e+00 9.774690688971476860e+00
5.892970385742187500e+04 1.237414686087085514e+01 1.367790976127318636e+01
5.892972467041015625e+04 4.929753867845558801e-01 1.138556666178972421e+01
5.892974554443359375e+04 5.382546141887834423e+00 9.494594976370274608e+00
5.892976635742187500e+04 6.793146865854307492e+00 1.354119650969818167e+01
5.892978717041015625e+04 1.461922708822489092e+00 1.040402296564710305e+01
5.892980804443359375e+04 3.788122411055486083e+00 1.030872962448449748e+01
5.892982885742187500e+04 2.761300157812485168e+00 1.040086799694775976e+01
5.892984967041015625e+04 4.641951812384828457e+00 1.343076261624650947e+01
5.892987054443359375e+04 5.797616611472538040e-01 1.315182341353637874e+01
5.892989135742187500e+04 3.596651503883105505e+00 1.045773671072484667e+01
5.892991217041015625e+04 -2.472920531168107061e+00 1.121260368602424329e+01
5.892993304443359375e+04 1.166733492771388825e+00 1.065443654030695697e+01
5.892995385742187500e+04 -2.136135619339967207e-01 1.326572398714788825e+01
5.892997467041015625e+04 3.168364996523944654e+00 1.036616540129503505e+01
5.892999554443359375e+04 4.639391273830785423e+00 1.220899670879266807e+01
5.893001635742187500e+04 2.603503750169871012e-01 1.257946360116164897e+01
5.893003717041015625e+04 2.996805267052414123e+00 1.303632774034398523e+01
5.893005804443359375e+04 2.874823180527751987e+00 1.405230157460517759e+01
5.893007885742187500e+04 1.815842979462630069e+00 9.065112938409598087e+00
5.893009967041015625e+04 -2.381102254356934012e+00 1.305965669552531594e+01
5.893012054443359375e+04 -6.317557920250145287e-01 9.843719281743616989e+00
5.893014135742187500e+04 1.449931069584455301e+01 9.210250388919849485e+00
5.893016217041015625e+04 -6.520805128767323211e+00 8.111358709204953499e+00
5.893018304443359375e+04 -1.242113046707014945e+00 9.702119084371817692e+00
5.893020385742187500e+04 7.797495898367325040e+00 9.692279725088743803e+00
5.893022467041015625e+04 -2.446321156889428750e+00 1.037549405612896258e+01
5.893024554443359375e+04 -3.063145749257728312e+00 1.161715718222427896e+01
5.893026635742187500e+04 6.515222516135843023e+00 9.589114201748795807e+00
5.893028717041015625e+04 1.739470050403962631e+00 1.006793571751873451e+01
5.893030804443359375e+04 2.443812100780782259e-01 1.118207485685579883e+01
5.893032885742187500e+04 -4.848140749878544042e+00 8.361379620217206821e+00
5.893034967041015625e+04 4.439442551727019293e+00 1.195417995147668933e+01
5.893037054443359375e+04 -3.472391457940506854e-01 1.312118332376792118e+01
5.893039141845703125e+04 6.253038259830717038e+00 9.865699849339415906e+00
5.893041223144531250e+04 3.464919976661717804e+00 1.152766938230877791e+01
5.893043304443359375e+04 7.682832200784073251e+00 8.716464382954638879e+00
5.893045391845703125e+04 -4.133500097688070696e+00 1.192607708561644131e+01
5.893047473144531250e+04 -2.040576076386248161e+00 1.227164460088049758e+01
5.893049554443359375e+04 3.151352671350734269e+00 1.127119032025081857e+01
5.893051641845703125e+04 9.974967470328994779e+00 8.062870043400716114e+00
5.893053723144531250e+04 -3.326756051528469982e-01 9.190000222061284418e+00
5.893055804443359375e+04 1.149577874774148967e+00 8.684567001019527055e+00
5.893057891845703125e+04 5.915936335848606120e-01 7.597523859880179309e+00
5.893059973144531250e+04 3.765167616617944191e+00 1.189027568960343828e+01
5.893062054443359375e+04 1.153757346757156910e+00 1.091750363663575030e+01
5.893064141845703125e+04 1.416406376782337162e+00 1.072988109370584198e+01
5.893066223144531250e+04 -1.373899520197312540e-01 9.801525712214182562e+00
5.893068304443359375e+04 -9.965982300899014490e-01 1.051687782126743365e+01
5.893070391845703125e+04 -7.065412505450971992e-01 1.430308502135221183e+01
5.893072473144531250e+04 -3.047241515997354711e+00 8.988139968344022179e+00
5.893074554443359375e+04 -3.435136517473861062e+00 1.010008307990582210e+01
5.893076641845703125e+04 1.532873223738917545e-02 1.084306479747428575e+01
5.893078723144531250e+04 5.436559709279269015e+00 9.616269862671858348e+00
5.893080804443359375e+04 -1.907982257856328800e+00 1.074118304256116652e+01
5.893082891845703125e+04 -3.103566902682675988e+00 9.701868815039958349e+00
5.893084973144531250e+04 -5.314142702591414746e+00 9.920473108983820509e+00
5.893087054443359375e+04 4.046230711317139850e+00 9.969493703761523662e+00
5.893089141845703125e+04 7.064403249814183994e-01 8.597726187280214205e+00
5.893091223144531250e+04 2.625375379441198476e+00 7.878775330870931626e+00
5.893093304443359375e+04 4.288288476698411955e-01 1.092435394242018276e+01
5.893095391845703125e+04 -3.614632877246840792e+00 1.152680218824045255e+01
5.893097473144531250e+04 -3.684685546366601727e+00 9.355152181378620924e+00
5.893099554443359375e+04 1.154714740346467039e+00 1.159645456576422085e+01
5.893101641845703125e+04 -3.557269512981946491e-01 9.092995178392468958e+00
5.893103723144531250e+04 -1.732130698309656935e+00 1.323618167032978121e+01
5.893105804443359375e+04 -7.114568309411257729e-01 9.700619198398724663e+00
5.893107891845703125e+04 -2.701500365751755339e+00 1.101057049733520365e+01
5.893109973144531250e+04 1.009662962637278838e-01 1.415414322246913059e+01
5.893112054443359375e+04 -4.142677414554139403e+00 1.070331702072010494e+01
5.893114141845703125e+04 -2.295192672839156955e+00 7.592041180295445280e+00
5.893116223144531250e+04 -2.755562684458073619e+00 1.097116819417829170e+01
5.893118304443359375e+04 -9.188454368198257782e-01 1.191962361017632865e+01
5.893120391845703125e+04 -2.059994276368502852e+00 1.120973734071579742e+01
5.893122473144531250e+04 -3.474424136345117375e+00 9.045516522498981971e+00
5.893124554443359375e+04 -2.302618494702517893e+00 8.650590313617616545e+00
5.893126641845703125e+04 -2.531233546565783143e+00 8.331833859767977302e+00
5.893128723144531250e+04 -5.470400918427802850e+00 1.254588277770288585e+01
5.893130804443359375e+04 7.666452684802358419e-01 1.351979061971668905e+01
5.893132891845703125e+04 -9.893120008575557733e-01 9.850006750387182208e+00
5.893134973144531250e+04 -4.247734419421497876e+00 1.011816539235839052e+01
5.893137054443359375e+04 -4.817699276881402426e+00 1.067028769283639633e+01
5.893139141845703125e+04 -1.834157374345647185e+00 1.109558298916952879e+01
5.893141223144531250e+04 1.398030969755316377e+00 1.015862816275526193e+01
5.893143304443359375e+04 2.540566021485968662e+00 8.601924226632956305e+00
5.893145391845703125e+04 -1.435126054354736169e+00 1.004169626061240805e+01
5.893147473144531250e+04 -2.067972605288210808e+00 1.043974453024691051e+01
5.893149554443359375e+04 -2.076992218538496360e+00 1.022430417022501814e+01
5.893151641845703125e+04 -6.464166372815384420e+00 8.993185415252996862e+00
5.893153723144531250e+04 8.469073249384742041e-01 1.080674884340800723e+01
5.893155804443359375e+04 -2.360899116739563652e+00 8.823141157706448467e+00
5.893157891845703125e+04 3.020539603508515469e+00 9.797508745606176461e+00
5.893159973144531250e+04 2.428147384218355853e+00 9.970405939281951291e+00
5.893162054443359375e+04 -1.920196769258041058e+00 9.010297505037785371e+00
5.893164141845703125e+04 -6.498446943504566420e+00 9.803375329112460790e+00
5.893166223144531250e+04 -2.337725678733416856e+00 1.082552719032276478e+01
5.893168304443359375e+04 -3.403919495740460377e+00 9.992709100910266429e+00
5.893170391845703125e+04 -3.457198670771578719e+00 8.883088263644966176e+00
5.893172473144531250e+04 -1.188988100711563689e+00 9.364879779671850812e+00
5.893174554443359375e+04 -8.167793911630628401e+00 1.146672236547882129e+01
5.893176641845703125e+04 -6.061798297432503091e+00 1.061761200370886016e+01
5.893178723144531250e+04 -2.010571874807961734e+00 7.820525451905629311e+00
5.893180804443359375e+04 9.438886530663097574e-01 1.059683272232529028e+01
5.893182891845703125e+04 -4.633656583452465227e+00 7.008753894342284241e+00
5.893184973144531250e+04 9.987269742270115103e-01 1.055598068140517398e+01
5.893187054443359375e+04 -3.154843065623067488e+00 6.615020409944928126e+00
5.893189141845703125e+04 -2.376771214394672427e+00 1.038259656802443232e+01
5.893191223144531250e+04 -8.126059301931825019e-01 8.249713909513658905e+00
5.893193304443359375e+04 -1.449913529296427583e+00 8.514681494289803254e+00
5.893195391845703125e+04 -3.263743765945038788e+00 9.256045057572801937e+00
5.893197473144531250e+04 1.814244735000649200e+00 6.825054111070843810e+00
5.893199554443359375e+04 -1.595373282444008112e-01 1.014996494849259534e+01
5.893201641845703125e+04 -1.017347607752313365e+00 1.018886355756915130e+01
5.893203723144531250e+04 -2.053759027394939096e+00 1.013755115892349679e+01
5.893205804443359375e+04 -5.767503810977352430e+00 6.020374089662862360e+00
5.893207891845703125e+04 -4.981208773205690221e+00 1.068665042939842102e+01
5.893209973144531250e+04 -4.337446571463381417e-01 7.899910909715775809e+00
5.893212054443359375e+04 -2.996134915164892831e+00 1.095031837944322284e+01
5.893214141845703125e+04 -3.197265836534068484e+00 5.804239598603867734e+00
5.893216223144531250e+04 -5.558815840891584870e+00 5.585289214679041159e+00
5.893218304443359375e+04 -9.931589714796892565e+00 6.123965200345622861e+00
5.893220391845703125e+04 -8.695951541947625429e+00 5.601027651105715321e+00
5.893222473144531250e+04 -5.064384611694709548e+00 5.441783381104515094e+00
5.893224554443359375e+04 2.073813104284308650e+00 6.438112260136309217e+00
5.893226641845703125e+04 -4.431983482546357322e+00 6.350930356416633948e+00
5.893228723144531250e+04 -1.115514982825775547e+00 7.270367336050756357e+00
5.893230804443359375e+04 -5.707223446647226694e+00 6.017165399920204827e+00
5.893232891845703125e+04 -4.390077367972187616e+00 5.588951240893281991e+00
5.893234973144531250e+04 -1.160189785955752839e+01 6.622706782928521108e+00
