time,magnitude,e_magnitude,zp,e_zp,band,instrument,upperlimit,z
58928.453857421875,18.08992988814921,4.174098593374204,-48.6,0.02,tess,=-tess,True,0.00744
58928.474670410156,16.987618707340182,1.2852056439714121,-48.6,0.02,tess,=-tess,True,0.00744
58928.495544433594,17.182102516231037,1.4993324846299683,-48.6,0.02,tess,=-tess,True,0.00744
58928.516357421875,17.242395785842017,1.5508188258395958,-48.6,0.02,tess,=-tess,True,0.00744
58928.537170410156,18.159825598510967,3.2228098228603077,-48.6,0.02,tess,=-tess,True,0.00744
58928.558044433594,17.495800107078505,1.8944599355246659,-48.6,0.02,tess,=-tess,True,0.00744
58928.578857421875,17.326985020789255,1.5452877969688743,-48.6,0.02,tess,=-tess,True,0.00744
58928.599670410156,16.91420272477709,1.0089503560521869,-48.6,0.02,tess,=-tess,True,0.00744
58928.620544433594,17.248566804693894,1.3096954827514693,-48.6,0.02,tess,=-tess,True,0.00744
58928.641357421875,17.251745427198887,1.2758786242710625,-48.6,0.02,tess,=-tess,True,0.00744
58928.662170410156,17.63387181223791,1.395387079337367,-48.6,0.02,tess,=-tess,True,0.00744
58928.683044433594,18.267736821657273,3.030207551696524,-48.6,0.02,tess,=-tess,True,0.00744
58928.703857421875,17.27889473726531,1.0967205408968255,-48.6,0.02,tess,=-tess,True,0.00744
58928.724670410156,18.00034280525369,2.2016347056885084,-48.6,0.02,tess,=-tess,True,0.00744
58928.745544433594,17.763414051499904,1.6934594364501403,-48.6,0.02,tess,=-tess,True,0.00744
58928.766357421875,18.345249017010758,2.715230319606049,-48.6,0.02,tess,=-tess,True,0.00744
58928.787170410156,17.650967523404006,1.476164858272312,-48.6,0.02,tess,=-tess,True,0.00744
58928.808044433594,18.17620274165081,2.176380783280488,-48.6,0.02,tess,=-tess,True,0.00744
58928.828857421875,18.12232697445552,1.8445006947754172,-48.6,0.02,tess,=-tess,True,0.00744
58928.849670410156,17.554535427326627,1.1714756024434707,-48.6,0.02,tess,=-tess,True,0.00744
58928.870544433594,17.76821564511188,1.3103047429188188,-48.6,0.02,tess,=-tess,True,0.00744
58928.891357421875,19.02649088233086,3.7027438785555846,-48.6,0.02,tess,=-tess,True,0.00744
58928.912170410156,18.45251809910053,1.933303347916723,-48.6,0.02,tess,=-tess,True,0.00744
58928.933044433594,19.45223949743424,5.36394200790095,-48.6,0.02,tess,=-tess,True,0.00744
58928.953857421875,19.320338994197954,4.3518820535344025,-48.6,0.02,tess,=-tess,True,0.00744
58928.974670410156,17.95697184191253,1.1654941823461027,-48.6,0.02,tess,=-tess,True,0.00744
58928.995544433594,18.78879933495883,2.625842456483303,-48.6,0.02,tess,=-tess,True,0.00744
58929.016357421875,17.77361089205637,0.9008654173957715,-48.6,0.02,tess,=-tess,True,0.00744
58929.037170410156,18.00005981845385,1.3644017802297428,-48.6,0.02,tess,=-tess,True,0.00744
58929.058044433594,18.12071823373773,1.4290615193935317,-48.6,0.02,tess,=-tess,True,0.00744
58929.078857421875,17.780157345634628,0.9006162582675022,-48.6,0.02,tess,=-tess,True,0.00744
58929.099670410156,18.143051303836017,1.3207811232705986,-48.6,0.02,tess,=-tess,True,0.00744
58929.120544433594,18.470838984551065,2.2205927066297977,-48.6,0.02,tess,=-tess,True,0.00744
58929.141357421875,17.9695554308655,1.17751339393217,-48.6,0.02,tess,=-tess,True,0.00744
58929.162170410156,17.900940197645944,1.3714629214347405,-48.6,0.02,tess,=-tess,True,0.00744
58929.183044433594,18.336198034087804,2.157347112712355,-48.6,0.02,tess,=-tess,True,0.00744
58929.203857421875,18.58472040832041,2.5244595726741,-48.6,0.02,tess,=-tess,True,0.00744
58929.224670410156,18.800755820693272,3.2954693907727104,-48.6,0.02,tess,=-tess,True,0.00744
58929.245544433594,19.460108543425743,5.496637400250481,-48.6,0.02,tess,=-tess,True,0.00744
58929.266357421875,18.24218065200801,1.3914996629732759,-48.6,0.02,tess,=-tess,True,0.00744
58929.287170410156,18.260682974369516,1.8399306889897225,-48.6,0.02,tess,=-tess,True,0.00744
58929.308044433594,17.92722556625822,1.2535038743780662,-48.6,0.02,tess,=-tess,True,0.00744
58929.328857421875,,-37.949047068736554,-48.6,0.02,tess,=-tess,True,0.00744
58929.349670410156,17.88312925004167,1.0029315901659328,-48.6,0.02,tess,=-tess,True,0.00744
58929.370544433594,17.77319289789196,1.0846061318055105,-48.6,0.02,tess,=-tess,True,0.00744
58929.391357421875,18.380939556360413,1.7858228638310956,-48.6,0.02,tess,=-tess,True,0.00744
58929.412170410156,17.779758675528782,1.086556125633044,-48.6,0.02,tess,=-tess,True,0.00744
58929.433044433594,19.22632361439404,4.075846386886724,-48.6,0.02,tess,=-tess,True,0.00744
58929.453857421875,19.39504584597905,4.239871974930411,-48.6,0.02,tess,=-tess,True,0.00744
58929.474670410156,19.80061269759342,5.852324980699007,-48.6,0.02,tess,=-tess,True,0.00744
58929.495544433594,17.83343242660325,1.0501834092959619,-48.6,0.02,tess,=-tess,True,0.00744
58929.516357421875,17.790252843927632,0.8721281281031624,-48.6,0.02,tess,=-tess,True,0.00744
58929.537170410156,18.06444994069478,1.1869496051110657,-48.6,0.02,tess,=-tess,True,0.00744
58929.558044433594,18.887481933132996,3.071901010318775,-48.6,0.02,tess,=-tess,True,0.00744
58929.578857421875,18.359581374771967,1.5393756730582127,-48.6,0.02,tess,=-tess,True,0.00744
58929.599670410156,19.144006460701725,3.862178500494541,-48.6,0.02,tess,=-tess,True,0.00744
58929.620544433594,20.31548860913485,9.890951125866334,-48.6,0.02,tess,=-tess,True,0.00744
58929.641357421875,18.891368424391562,2.0813011709734828,-48.6,0.02,tess,=-tess,True,0.00744
58929.662170410156,18.962158885585506,2.5516131961237076,-48.6,0.02,tess,=-tess,True,0.00744
58929.683044433594,,-8.958464963094775,-48.6,0.02,tess,=-tess,True,0.00744
58929.703857421875,18.078711834801815,1.2001313706877872,-48.6,0.02,tess,=-tess,True,0.00744
58929.724670410156,21.57793690895953,25.075738602330425,-48.6,0.02,tess,=-tess,True,0.00744
58929.745544433594,18.98253059624545,1.9151950106170927,-48.6,0.02,tess,=-tess,True,0.00744
58929.766357421875,18.729822489969298,2.1642646032318313,-48.6,0.02,tess,=-tess,True,0.00744
58929.787170410156,20.397688969299047,7.726827376555719,-48.6,0.02,tess,=-tess,True,0.00744
58929.808044433594,19.363939988647257,2.9546460657397042,-48.6,0.02,tess,=-tess,True,0.00744
58929.828857421875,19.707215955697745,4.089594864667808,-48.6,0.02,tess,=-tess,True,0.00744
58929.849670410156,19.14324843055548,3.1414081445363236,-48.6,0.02,tess,=-tess,True,0.00744
58929.870544433594,21.40187626834213,24.629794958165167,-48.6,0.02,tess,=-tess,True,0.00744
58929.891357421875,19.420254102335004,3.1569206397682685,-48.6,0.02,tess,=-tess,True,0.00744
58929.912170410156,,-4.922895668535901,-48.6,0.02,tess,=-tess,True,0.00744
58929.933044433594,20.642570837257672,9.914781365906876,-48.6,0.02,tess,=-tess,True,0.00744
58929.953857421875,,-67.42585388667952,-48.6,0.02,tess,=-tess,True,0.00744
58929.974670410156,19.55791198339025,3.552280464228404,-48.6,0.02,tess,=-tess,True,0.00744
58929.995544433594,19.14384749675883,2.857217459816373,-48.6,0.02,tess,=-tess,True,0.00744
58930.016357421875,22.271104481040524,52.45999383456673,-48.6,0.02,tess,=-tess,True,0.00744
58930.037170410156,19.618353691678475,4.723033945647642,-48.6,0.02,tess,=-tess,True,0.00744
58930.058044433594,19.66347215489903,5.30714121239542,-48.6,0.02,tess,=-tess,True,0.00744
58930.078857421875,20.16230427183532,5.420249123283408,-48.6,0.02,tess,=-tess,True,0.00744
58930.099670410156,,-5.95494883518691,-48.6,0.02,tess,=-tess,True,0.00744
58930.120544433594,,-16.91742687377143,-48.6,0.02,tess,=-tess,True,0.00744
58930.141357421875,17.906631609603394,0.6896812208461646,-48.6,0.02,tess,=-tess,True,0.00744
58930.162170410156,,-1.350568778924513,-48.6,0.02,tess,=-tess,True,0.00744
58930.183044433594,,-8.480662835563937,-48.6,0.02,tess,=-tess,True,0.00744
58930.203857421875,18.580112112545002,1.349569033614423,-48.6,0.02,tess,=-tess,True,0.00744
58930.224670410156,,-4.604893967935037,-48.6,0.02,tess,=-tess,True,0.00744
58930.245544433594,,-4.1177172689753,-48.6,0.02,tess,=-tess,True,0.00744
58930.266357421875,18.775176867806476,1.5979881630464854,-48.6,0.02,tess,=-tess,True,0.00744
58930.287170410156,20.20895761096196,6.284168165556536,-48.6,0.02,tess,=-tess,True,0.00744
58930.308044433594,22.339830472680845,49.67969310130273,-48.6,0.02,tess,=-tess,True,0.00744
58930.328857421875,,-1.8725224872285378,-48.6,0.02,tess,=-tess,True,0.00744
58930.349670410156,19.191678898985952,2.923584621331102,-48.6,0.02,tess,=-tess,True,0.00744
58930.370544433594,,-41.026894451390284,-48.6,0.02,tess,=-tess,True,0.00744
58930.39141845703,18.819772285094054,1.713014868390492,-48.6,0.02,tess,=-tess,True,0.00744
58930.41223144531,19.460766977735457,3.6122069453716468,-48.6,0.02,tess,=-tess,True,0.00744
58930.433044433594,18.596196630120147,1.231808883850509,-48.6,0.02,tess,=-tess,True,0.00744
58930.45391845703,,-3.13259304864476,-48.6,0.02,tess,=-tess,True,0.00744
58930.47473144531,,-6.529415388764269,-48.6,0.02,tess,=-tess,True,0.00744
58930.495544433594,19.563757479330235,3.8832655934286238,-48.6,0.02,tess,=-tess,True,0.00744
58930.51641845703,18.31272127982475,0.8776118765719823,-48.6,0.02,tess,=-tess,True,0.00744
58930.53723144531,,-29.992929473271282,-48.6,0.02,tess,=-tess,True,0.00744
58930.558044433594,20.658654008487563,8.20227060955494,-48.6,0.02,tess,=-tess,True,0.00744
58930.57891845703,21.379941270738918,13.943535313590191,-48.6,0.02,tess,=-tess,True,0.00744
58930.59973144531,19.370539213099175,3.4287192803262254,-48.6,0.02,tess,=-tess,True,0.00744
58930.620544433594,20.65471380127275,10.273849173910316,-48.6,0.02,tess,=-tess,True,0.00744
58930.64141845703,20.432030316696796,8.224913815095345,-48.6,0.02,tess,=-tess,True,0.00744
58930.66223144531,,-77.45742080243478,-48.6,0.02,tess,=-tess,True,0.00744
58930.683044433594,,-11.457530895411884,-48.6,0.02,tess,=-tess,True,0.00744
58930.70391845703,,-21.979434654996957,-48.6,0.02,tess,=-tess,True,0.00744
58930.72473144531,,-3.2024862242895367,-48.6,0.02,tess,=-tess,True,0.00744
58930.745544433594,,-3.192311518082829,-48.6,0.02,tess,=-tess,True,0.00744
58930.76641845703,25.346234404950422,768.0157653508181,-48.6,0.02,tess,=-tess,True,0.00744
58930.78723144531,18.971689594465207,1.9204667846849532,-48.6,0.02,tess,=-tess,True,0.00744
58930.808044433594,,-6.112264023013203,-48.6,0.02,tess,=-tess,True,0.00744
58930.82891845703,,-3.394052893526345,-48.6,0.02,tess,=-tess,True,0.00744
58930.84973144531,,-2.0268587852375024,-48.6,0.02,tess,=-tess,True,0.00744
58930.870544433594,19.29237339474636,2.6751416391080105,-48.6,0.02,tess,=-tess,True,0.00744
58930.89141845703,21.187311295882747,13.213943584509757,-48.6,0.02,tess,=-tess,True,0.00744
