pl_name,default_flag,disc_facility,tran_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,pl_msinie,pl_msinij,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_imppar,pl_trandep,pl_trandur,pl_ratror,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_refname,rastr,ra,decstr,dec,sy_bmag,sy_vmag,sy_jmag,sy_hmag,sy_kmag,sy_umag,sy_gmag,sy_rmag,sy_imag,sy_gaiamag,rowupdate,pl_pubdate,releasedate
55 Cnc e,0,G8 V,1,<a refstr=DEMORY_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A&A...533A.114D/abstract target=ref>Demory et al. 2011</a>,0.7365437,0.01544,2.08,0.18600000000000003,7.81,0.024569999999999998,7.8,0.02454,7.81,0.024569999999999998,Mass,0.061,,1958.0,87.3,0.16,0.040999999999999995,1.5959999999999999,0.0202,<a refstr=DEMORY_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A&A...533A.114D/abstract target=ref>Demory et al. 2011</a>,,5234.0,0.94,0.91,0.31,[Fe/H],4.45,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.329815399999998,6.816,5.95084,4.768,4.265,4.015,,,,,5.72973,2016-07-06 11:38:15,2011-09,2015-12-03
AU Mic b,1,Transiting Exoplanet Survey Satellite (TESS),1,<a refstr=PLAVCHAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020Natur.582..497P/abstract target=ref>Plavchan et al. 2020</a>,8.46321,0.066,4.203,0.375,,,57.2094,0.18,57.2094,0.18,Msini,0.1,,,,0.16,,3.5,0.0514,<a refstr=PLAVCHAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020Natur.582..497P/abstract target=ref>Plavchan et al. 2020</a>,,3700.0,0.75,0.5,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h45m09.87s,311.29113689999997,-31d20m32.82s,-31.34245,10.209,8.81,5.436,4.831,4.529,,,,,7.840380000000001,2020-06-12 16:41:23,2020-06,2020-06-24
CoRoT-11 b,1,CoRoT,1,<a refstr=GANDOLFI_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...524A..55G/abstract target=ref> Gandolfi et al. 2010 </a>,2.9943299999999997,0.0436,16.03,1.43,740.51,2.33,,,740.51,2.33,Mass,0.0,,1657.0,83.17,0.818,1.1449,2.5009,0.107,<a refstr=GANDOLFI_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...524A..55G/abstract target=ref> Gandolfi et al. 2010 </a>,F6 V,6440.0,1.37,1.27,-0.03,[Fe/H],4.22,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h42m44.95s,280.6872998,+05d56m15.57s,5.9376586,13.529000000000002,12.897,11.589,11.415999999999999,11.248,,,,,12.841,2014-05-14,2010-12,2014-05-14
CoRoT-2 b,4.48,CoRoT,1,<a refstr=GILLON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A&A...511A...3G/abstract target=ref> Gillon et al. 2010 </a>,1.7429935,0.02798,16.432000000000002,1.466,1102.82,3.47,,,1102.82,3.47,Mass,0.0143,,,88.08,0.221,2.75,2.26704,,<a refstr=GILLON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A&A...511A...3G/abstract target=ref> Gillon et al. 2010 </a>,,5625.0,0.91,0.96,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h27m06.49s,291.7770457,+01d23m01.19s,1.3836633999999999,13.345999999999998,12.515999999999998,10.783,10.437999999999999,10.31,,,,,12.2489,2014-05-14,2010-02,2014-05-14
CoRoT-3 b,0,CoRoT,1,<a refstr=TSANTAKI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...570A..80T/abstract target=ref>Tsantaki et al. 2014</a>,,,,,,,,,,,,,,,,,,3.384,0.0641,<a refstr=TSANTAKI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...570A..80T/abstract target=ref>Tsantaki et al. 2014</a>,,6558.0,1.44,1.41,0.14,[Fe/H],4.25,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h28m13.27s,292.0552827,+00d07m18.61s,0.1218359,14.118,13.448,11.936,11.71,11.618,,,,,13.2188,2014-08-21,2014-07,2014-08-21
CoRoT-7 b,1756.0,CoRoT,1,<a refstr=LEGER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...506..287L/abstract target=ref> Leger et al. 2009 </a>,0.853585,0.0172,1.68,0.15,21.0,0.066,,,21.0,0.066,Mass,,,,80.1,0.61,0.0335,1.125,0.0187,<a refstr=LEGER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...506..287L/abstract target=ref> Leger et al. 2009 </a>,G9 V,5275.0,0.87,0.93,0.03,[M/H],4.5,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h43m49.48s,100.95616820000001,-01d03m46.83s,-1.0630076000000002,12.784,11.728,10.300999999999998,9.88,9.806000000000001,,,,,11.5239,2018-04-25 14:05:45,2009-10,2015-03-05
DS Tuc A b,4.44,Transiting Exoplanet Survey Satellite (TESS),1,<a refstr=NEWTON_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...880L..17N/abstract target=ref>Newton et al. 2019</a>,8.138268,,5.7,0.509,,,,,,,,0.0,,850.0,89.5,0.18,0.2936,3.1764,0.054189999999999995,<a refstr=NEWTON_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...880L..17N/abstract target=ref>Newton et al. 2019</a>,G6 V,5428.0,0.96,1.01,0.0,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h39m39.71s,354.9154673,-69d11m45.75s,-69.196043,8.886000000000001,8.17,7.122000000000001,6.7589999999999995,6.676,,,,,8.31926,2019-07-03 16:37:40,2019-07,2019-07-11
EPIC 205950854 c,0,K2,1,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,8.0516,,1.62,,,,,,,,,,,,,,0.0303,3.72,0.0164,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,0.9,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h12m26.42s,333.1100738,-16d20m30.79s,-16.341886300000002,12.972999999999999,12.365,10.957,10.589,10.549000000000001,,,,,12.0976,2019-09-05,2019-09,2019-09-05
EPIC 206024342 b,0,K2,1,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,4.5071699999999995,,1.44,,,,,,,,,,,,,,0.0267,2.184,0.016,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,0.82,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h05m06.51s,331.2771441,-14d07m18.49s,-14.1218019,13.798,13.095999999999998,11.845999999999998,11.533,11.487,,,,,12.9682,2019-09-05,2019-09,2019-09-05
EPIC 211945201 b,0,K2,1,<a refstr=CHAKRABORTY_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156....3C/abstract target=ref>Chakraborty et al. 2018</a>,0.1381,0.14800000000000002,6.12,0.546,27.0,0.08495,,,27.0,0.08495,Mass,0.0,,886.0,87.9,0.85,,3.91,0.0407,<a refstr=CHAKRABORTY_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156....3C/abstract target=ref>Chakraborty et al. 2018</a>,G0,6025.0,1.38,1.18,0.1,[Fe/H],4.25,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h06m17.81s,136.57419309999997,+19d24m07.40s,19.4020565,10.937999999999999,10.154,9.144,8.908,8.837,,,,,10.0512,2018-10-24 14:52:19,2018-07,2018-05-31
EPIC 212587672 b,0,K2,1,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,15.2841,,1.39,,,,,,,,,,,,,,0.0187,3.552,0.013000000000000001,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,0.98,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h41m46.68s,205.4445125,-10d51m45.17s,-10.8625468,12.69,12.488,11.181,10.911,10.857000000000001,,,,,12.2038,2019-09-05,2019-09,2019-09-05
EPIC 220674823 b,0,K2,0.02847,<a refstr=GUENTHER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...608A..93G/abstract target=ref>Guenther et al. 2017</a>,0.571292,0.0116,1.52,0.136,8.36,0.0263,,,8.36,0.0263,Mass,0.0,,2333.0,86.4,0.18,,1.5319999999999998,0.01601,<a refstr=GUENTHER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...608A..93G/abstract target=ref>Guenther et al. 2017</a>,G5 V,5470.0,0.87,0.94,-0.025,[Fe/H],4.53,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h52m19.21s,13.0800239,+10d47m40.94s,10.7947051,12.575999999999999,12.100999999999999,10.77,10.454,10.344000000000001,14.7932,12.6287,12.0262,11.8122,11.9535,2018-10-24 14:52:58,2017-12,2018-06-21
EPIC 220674823 c,0,K2,0.0903,<a refstr=GUENTHER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...608A..93G/abstract target=ref>Guenther et al. 2017</a>,13.3397,0.105,2.5,0.223,5.8,0.01825,,,5.8,0.01825,Mass,0.18,,774.0,89.35,0.31,,3.66,0.02632,<a refstr=GUENTHER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...608A..93G/abstract target=ref>Guenther et al. 2017</a>,G5 V,5470.0,0.87,0.94,-0.025,[Fe/H],4.53,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h52m19.21s,13.0800239,+10d47m40.94s,10.7947051,12.575999999999999,12.100999999999999,10.77,10.454,10.344000000000001,14.7932,12.6287,12.0262,11.8122,11.9535,2018-10-24 14:52:59,2017-12,2018-06-21
EPIC 246851721 b,1,K2,1,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..250Y/abstract target=ref>Yu et al. 2018</a>,6.180235,0.07229,11.780999999999999,1.051,953.49,3.0,953.49,3.0,953.49,3.0,Mass,,642.0,1401.0,86.21,0.647,0.46399999999999997,4.10808,0.0681,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..250Y/abstract target=ref>Yu et al. 2018</a>,F5 V,6202.0,1.59,1.32,0.141,[Fe/H],4.16,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h15m40.76s,78.9198197,+16d16m43.32s,16.2786991,12.067,11.237,10.199,9.967,9.892999999999999,15.2612,11.7275,11.3069,11.1782,11.2549,2019-12-02 09:30:00,2018-12,2018-10-26
