#expname,ra,dec,mag,dm,snr,filter,zp,mjd,x,y,peakval,skyval,peakfit,dpeak,skyfit,flux,dflux,chin,major,minor,snrdet,snrlimit,apfit,uJy,duJy
02a58911o0369o,189.13861,11.23168,>20.42,0.0,3.0,o,22.164,58911.4110836,7657.68,9457.47,172.0,179.6,8.0,12.5,179.2,-93.9,702.2,2.47,2.2,1.82,1.0,3.0,-0.4527,8.01572485025,12.5245700785
02a58911o0413o,189.13861,11.23168,>20.44,0.0,3.0,o,22.17,58911.4338693,7680.58,9496.82,152.0,181.1,-44.5,12.8,176.9,-2394.3,622.9,2.11,2.17,1.77,1.0,3.0,-0.4587,-42.7712316493,12.3027362946
02a58911o0427o,189.13861,11.23168,19.74,0.27,3.6,o,22.169,58911.4415169,7622.35,9417.72,226.0,180.7,47.9,13.3,167.5,-4091.4,627.6,2.22,2.15,1.78,1.0,3.0,-0.4637,46.1267356368,12.8076322332
02a58911o0446o,189.13861,11.23168,>20.48,0.0,3.0,o,22.175,58911.4514964,7594.55,9541.96,138.0,181.8,-22.6,12.0,183.5,-904.8,773.4,2.01,2.27,1.75,1.0,3.0,-0.4547,-22.2808159055,11.8305217198
01a58912o0441o,189.13861,11.23168,>20.52,0.0,3.0,o,22.133,58912.5250345,7179.89,1496.08,179.0,180.2,11.3,11.9,179.4,-226.9,570.4,2.52,2.0,1.86,1.0,3.0,-0.4217,10.519137419,11.077675689
01a58912o0448o,189.13861,11.23168,19.67,0.27,3.61,o,21.899,58912.5282587,7200.11,1535.31,218.0,181.0,39.7,11.0,170.8,-2756.8,641.2,2.52,2.08,1.93,1.0,3.0,-0.4157,49.2005430164,13.6323922716
01a58912o0461o,189.13861,11.23168,>20.56,0.0,3.0,o,22.121,58912.5344177,7142.86,1456.97,191.0,181.8,0.4,13.2,179.8,-2398.8,575.8,2.9,1.85,1.73,1.0,3.0,-0.4257,0.325114671296,10.7287841528
01a58912o0487o,189.13861,11.23168,>20.7,0.0,3.0,o,22.219,58912.547145,7124.43,1574.91,141.0,181.2,-34.9,11.6,180.3,-888.8,653.5,2.98,1.96,1.79,1.0,3.0,-0.4197,-28.2548674702,9.39130265487
01a58913o0409o,189.13861,11.23168,>20.42,0.0,3.0,o,22.287,58913.4330546,3352.12,9052.31,168.0,182.7,-0.1,17.0,178.1,-906.7,745.9,3.17,1.88,1.74,1.0,3.0,-0.4147,-0.070577430467,11.9981631794
01a58913o0416o,189.13861,11.23168,>20.4,0.0,3.0,o,22.286,58913.4366512,3332.35,9012.78,157.0,182.9,-6.3,17.5,176.7,-3119.4,814.3,2.17,1.87,1.73,1.0,3.0,-0.4167,-4.40947621567,12.2485450435
01a58913o0427o,189.13861,11.23168,>20.43,0.0,3.0,o,22.287,58913.4428326,3391.12,9091.53,131.0,183.0,-0.1,15.6,173.6,-1604.0,811.4,2.11,1.95,1.81,1.0,3.0,-0.4077,-0.0756609746538,11.803112046
01a58913o0459o,189.13861,11.23168,>19.9427328985,0.0,1.61,o,22.292,58913.4591408,3412.22,8974.92,180.0,182.5,29.1,18.1,179.4,-953.3,804.6,2.08,1.88,1.76,1.0,3.0,-0.4097,20.583643494,12.8028847849
01a58920o0573o,189.13861,11.23168,>18.16,0.0,3.0,o,21.784,58920.5569975,8932.82,7680.2,324.0,399.5,-0.4,67.6,414.7,2880.3,3592.5,0.93,2.19,1.91,1.0,3.0,-0.4007,-0.566364754233,95.7156434654
01a58920o0580o,189.13861,11.23168,>17.92,0.0,3.0,o,21.64,58920.5602337,8953.42,7719.43,399.0,487.4,-25.5,77.1,516.2,8588.7,4586.1,1.26,2.13,1.88,1.0,3.0,-0.4127,-39.9058327844,120.656459124
01a58920o0603o,189.13861,11.23168,>17.5701571934,0.0,1.26,o,21.613,58920.572046,8889.45,7644.06,404.0,279.8,91.9,72.8,317.9,27501.2,3941.2,1.23,2.09,1.86,1.0,3.0,-0.4137,143.26281716,113.487846456
01a58921o0286o,189.13861,11.23168,>16.33,0.0,3.0,o,20.021,58921.5447812,8929.26,7678.22,258.0,232.8,3.3,50.3,227.0,-6058.8,3292.6,1.08,2.83,2.1,1.0,3.0,-0.4187,34.2356371975,521.834106375
01a58921o0294o,189.13861,11.23168,>16.21,0.0,3.0,o,20.011,58921.5486251,8949.6,7716.77,121.0,235.2,19.5,47.9,222.4,-7807.5,3838.8,1.28,3.11,2.23,1.0,3.0,-0.4277,240.247351521,590.14605835
01a58921o0305o,189.13861,11.23168,>17.29,0.0,3.0,o,20.765,58921.5539333,8890.99,7639.94,328.0,236.4,-43.4,52.4,249.8,7765.9,3358.3,1.02,2.37,1.98,1.0,3.0,-0.4067,-177.199303724,213.945703114
01a58921o0328o,189.13861,11.23168,>16.5,0.0,3.0,o,20.26,58921.5649042,8871.65,7757.82,413.0,262.9,17.9,56.3,260.1,-1090.4,3307.7,1.16,2.81,2.01,1.0,3.0,-0.4177,141.486223135,445.009740921
01a58925o0094o,189.13861,11.23168,>18.7902850706,0.0,2.23,o,20.595,58925.4766047,8917.39,7680.23,210.0,179.3,25.7,11.5,176.0,-1273.3,600.9,1.92,1.91,1.61,1.0,3.0,-0.4347,82.5184595309,36.9246025138
01a58925o0117o,189.13861,11.23168,>19.81,0.0,3.0,o,21.227,58925.4885726,8940.48,7717.54,182.0,180.3,7.1,12.0,180.7,-146.7,523.3,2.2,1.87,1.65,1.0,3.0,-0.4387,12.8275183546,21.680312712
01a58925o0139o,189.13861,11.23168,>19.73,0.0,3.0,o,21.51,58925.4998053,8884.95,7640.74,177.0,180.3,4.9,12.9,176.4,-2945.6,670.4,1.26,2.08,1.92,1.0,3.0,-0.4117,8.61230474723,22.673210457
